# control	iso_ref  (from NIST OLIR 800-53r5 -> ISO 27001:2022, public domain)
MP-6	A.7.10
MP-6	A.7.14
MP-6	A.8.10
MP-6(1)	A.8.10
MP-7	A.5.10
MP-7	A.7.10
PE-1	5.2
PE-1	5.3
PE-1	7.5.1
PE-1	7.5.2
PE-1	7.5.3
PE-1	A.5.1
PE-1	A.5.2
PE-1	A.5.31
PE-1	A.5.36
PE-1	A.5.37
PE-1	A.5.4
PE-10	A.7.11
PE-11	A.7.11
PE-12	A.7.11
PE-13	A.7.5
PE-13	A.7.8
PE-14	A.7.11
PE-14	A.7.5
PE-14	A.7.8
PE-15	A.7.11
PE-15	A.7.5
PE-15	A.7.8
PE-16	A.5.10
PE-16	A.7.10
PE-16	A.7.2
PE-17	A.5.14
PE-17	A.6.7
PE-17	A.7.9
PE-18	A.5.10
PE-18	A.7.5
PE-18	A.7.8
PE-19	A.7.5
PE-19	A.7.8
PE-19	A.8.12
PE-2	A.7.2
PE-20	A.5.10
PE-22	A.5.13
PE-23	A.7.5
PE-23	A.7.8
PE-3	A.7.1
PE-3	A.7.2
PE-3	A.7.3
PE-3	A.7.4
PE-3(2)	A.8.12
PE-3(3)	A.7.4
PE-4	A.7.12
PE-4	A.7.2
PE-5	A.7.2
PE-5	A.7.3
PE-5	A.7.7
PE-6	A.7.4
PE-6	A.8.16
PE-6(1)	A.7.4
PE-6(3)	A.8.16
PE-6(4)	A.7.4
PE-9	A.7.11
PE-9	A.7.12
PE-9	A.7.5
PE-9	A.7.8
PL-1	5.2
PL-1	5.3
PL-1	7.5.1
PL-1	7.5.2
PL-1	7.5.3
PL-1	A.5.1
PL-1	A.5.2
PL-1	A.5.31
PL-1	A.5.36
PL-1	A.5.37
PL-1	A.5.4
PL-2	10.2
PL-2	7.5.1
PL-2	7.5.2
PL-2	7.5.3
PL-2	A.5.34
PL-2	A.5.8
PL-4	A.5.10
PL-4	A.5.4
PL-4	A.6.2
PL-7	8.1
PL-7	A.5.8
PL-8	A.5.8
PM-1	10.1
PM-1	4.1
PM-1	4.2
PM-1	4.3
PM-1	4.4
PM-1	5.2
PM-1	5.3
PM-1	6.1.1
PM-1	6.2
PM-1	7.4
PM-1	7.5.1
PM-1	7.5.2
PM-1	7.5.3
PM-1	8.1
PM-1	9.3.1
PM-1	A.5.1
PM-1	A.5.2
